id,phase,priority,target,title,estimate,depends_on,status,branch,pr,notes
AUD-001,0 Discovery & Baseline,MUST,MVP,Auditar y poner verde el harness,0.5-1.5 d,,DONE,,,
AUD-002,0 Discovery & Baseline,MUST,MVP,Inventariar boundaries y ownership,0.5-1.5 d,AUD-001,TODO,,,
AUD-003,0 Discovery & Baseline,MUST,MVP,Fijar toolchain y dependencias,0.5-1.5 d,AUD-001,TODO,,,
AUD-004,0 Discovery & Baseline,MUST,MVP,Reconciliar schema SQL y modelo de dominio,0.5-1.5 d,AUD-002,TODO,,,
AUD-005,0 Discovery & Baseline,MUST,MVP,Definir NFR y presupuestos de rendimiento,0.5-1.5 d,AUD-001,TODO,,,
AUD-006,0 Discovery & Baseline,MUST,MVP,Threat model inicial,0.5-1.5 d,AUD-002,TODO,,,
AUD-007,0 Discovery & Baseline,MUST,MVP,Catálogo de fixtures y golden datasets,0.5-1.5 d,AUD-001,TODO,,,
AUD-008,0 Discovery & Baseline,MUST,MVP,Congelar roadmap técnico v1,0.5-1.5 d,"AUD-003,AUD-004,AUD-005,AUD-006,AUD-007",TODO,,,
FND-001,1 Foundation,MUST,MVP,Propagar tenant context,0.5-1.5 d,AUD-008,TODO,,,
FND-002,1 Foundation,MUST,MVP,RBAC mínimo,0.5-1.5 d,FND-001,TODO,,,
FND-003,1 Foundation,MUST,MVP,Framework de migrations,0.5-1.5 d,AUD-004,TODO,,,
FND-004,1 Foundation,MUST,MVP,Auditoría transaccional,0.5-1.5 d,"FND-001,FND-003",TODO,,,
FND-005,1 Foundation,MUST,MVP,Transactional outbox,0.5-1.5 d,"FND-003,FND-004",TODO,,,
FND-006,1 Foundation,MUST,MVP,ObjectStorage adapter,0.5-1.5 d,FND-003,TODO,,,
FND-007,1 Foundation,MUST,MVP,Job queue abstraction,0.5-1.5 d,FND-005,TODO,,,
FND-008,1 Foundation,MUST,MVP,Error envelope y correlation IDs,0.5-1.5 d,FND-001,TODO,,,
FND-009,1 Foundation,MUST,MVP,OpenAPI como contrato verificado,0.5-1.5 d,FND-008,TODO,,,
FND-010,1 Foundation,MUST,MVP,Session/auth boundary frontend,0.5-1.5 d,"FND-001,FND-002",TODO,,,
FND-011,1 Foundation,SHOULD,MVP,Feature flags,0.5-1.5 d,FND-001,TODO,,,
FND-012,1 Foundation,MUST,MVP,Observabilidad baseline,0.5-1.5 d,FND-008,TODO,,,
FND-013,1 Foundation,MUST,MVP,Health/readiness/dependency checks,0.5-1.5 d,"FND-006,FND-007,FND-012",TODO,,,
FND-014,1 Foundation,MUST,MVP,CI quality gates,0.5-1.5 d,"AUD-003,FND-003,FND-009",TODO,,,
FND-015,1 Foundation,MUST,MVP,Bootstrap reproducible de desarrollo,0.5-1.5 d,"FND-003,FND-006,FND-007,FND-013",TODO,,,
FND-016,1 Foundation,MUST,MVP,Suite de aislamiento multi-tenant,0.5-1.5 d,"FND-001,FND-002,FND-014",TODO,,,
BIM-001,2 BIM Ingestion,MUST,MVP,Dominio Model y ModelRevision,0.5-1.5 d,"FND-003,FND-004",TODO,,,
BIM-002,2 BIM Ingestion,MUST,MVP,Upload IFC streaming,0.5-1.5 d,"BIM-001,FND-006,FND-008",TODO,,,
BIM-003,2 BIM Ingestion,MUST,MVP,Checksum y almacenamiento inmutable,0.5-1.5 d,BIM-002,TODO,,,
BIM-004,2 BIM Ingestion,MUST,MVP,Encolar ingest request,0.5-1.5 d,"BIM-003,FND-005,FND-007",TODO,,,
BIM-005,2 BIM Ingestion,MUST,MVP,State machine idempotente del worker,0.5-1.5 d,BIM-004,TODO,,,
BIM-006,2 BIM Ingestion,MUST,MVP,Detección IFC schema,0.5-1.5 d,BIM-005,TODO,,,
BIM-007,2 BIM Ingestion,MUST,MVP,Índice básico de IfcProduct,0.5-1.5 d,BIM-006,TODO,,,
BIM-008,2 BIM Ingestion,MUST,MVP,Jerarquía espacial y storeys,0.5-1.5 d,BIM-007,TODO,,,
BIM-009,2 BIM Ingestion,MUST,MVP,Property sets normalizados,0.5-1.5 d,BIM-007,TODO,,,
BIM-010,2 BIM Ingestion,MUST,MVP,Base quantities y QTO IFC,0.5-1.5 d,BIM-007,TODO,,,
BIM-011,2 BIM Ingestion,SHOULD,MVP,Clasificaciones IFC,0.5-1.5 d,BIM-007,TODO,,,
BIM-012,2 BIM Ingestion,MUST,MVP,Normalización de unidades,0.5-1.5 d,"BIM-006,BIM-010",TODO,,,
BIM-013,2 BIM Ingestion,SHOULD,MVP,Metadata geométrica,0.5-1.5 d,BIM-007,TODO,,,
BIM-014,2 BIM Ingestion,MUST,MVP,Errores y retry de ingestión,0.5-1.5 d,"BIM-005,BIM-006",TODO,,,
BIM-015,2 BIM Ingestion,MUST,MVP,Element query API,0.5-1.5 d,"BIM-008,BIM-009,BIM-010,BIM-011,FND-009",TODO,,,
BIM-016,2 BIM Ingestion,SHOULD,MVP,Revision summary y métricas,0.5-1.5 d,"BIM-014,BIM-015",TODO,,,
BIM-017,2 BIM Ingestion,MUST,MVP,Golden IFC regression suite,0.5-1.5 d,"BIM-012,BIM-015,AUD-007",TODO,,,
BIM-018,2 BIM Ingestion,SHOULD,Beta,Benchmark de ingestión grande,0.5-1.5 d,"BIM-017,AUD-005",TODO,,,
VWR-001,3 Viewer & Work Area,MUST,MVP,Benchmark y ADR de viewer,0.5-1.5 d,"BIM-017,AUD-005",TODO,,,
VWR-002,3 Viewer & Work Area,MUST,MVP,Implementar ViewerAdapter de producción,0.5-1.5 d,VWR-001,TODO,,,
VWR-003,3 Viewer & Work Area,MUST,MVP,Contrato de geometry artifacts,0.5-1.5 d,"VWR-001,BIM-013",TODO,,,
VWR-004,3 Viewer & Work Area,MUST,MVP,Pipeline worker de geometría,0.5-1.5 d,"VWR-003,FND-006,FND-007",TODO,,,
VWR-005,3 Viewer & Work Area,MUST,MVP,Artifact manifest API,0.5-1.5 d,"VWR-004,FND-009",TODO,,,
VWR-006,3 Viewer & Work Area,MUST,MVP,Carga de un modelo real,0.5-1.5 d,"VWR-002,VWR-005",TODO,,,
VWR-007,3 Viewer & Work Area,MUST,MVP,Selección con identidad BIM estable,0.5-1.5 d,"VWR-006,BIM-015",TODO,,,
VWR-008,3 Viewer & Work Area,MUST,MVP,Hide/isolate/show,0.5-1.5 d,VWR-007,TODO,,,
VWR-009,3 Viewer & Work Area,MUST,MVP,Property panel BIM,0.5-1.5 d,"VWR-007,BIM-009,BIM-010,BIM-011",TODO,,,
VWR-010,3 Viewer & Work Area,SHOULD,MVP,Clipping y measurement tools,0.5-1.5 d,"VWR-006,BIM-012",TODO,,,
VWR-011,3 Viewer & Work Area,MUST,MVP,Federación multi-modelo,0.5-1.5 d,VWR-007,TODO,,,
VWR-012,3 Viewer & Work Area,MUST,MVP,Cross-selection Viewer↔BOQ↔Gantt,0.5-1.5 d,"VWR-007,VWR-011",TODO,,,
VWR-013,3 Viewer & Work Area,SHOULD,Beta,Progressive loading/performance,0.5-1.5 d,"VWR-011,BIM-018",TODO,,,
VWR-014,3 Viewer & Work Area,MUST,MVP,Visual regression y E2E del Work Area,0.5-1.5 d,"VWR-012,VWR-013",TODO,,,
BOQ-001,4 BOQ / QTO / 5D,MUST,MVP,BOQ hierarchy y revisions,0.5-1.5 d,"BIM-015,FND-003",TODO,,,
BOQ-002,4 BOQ / QTO / 5D,MUST,MVP,CRUD de BOQ items,0.5-1.5 d,"BOQ-001,FND-009",TODO,,,
BOQ-003,4 BOQ / QTO / 5D,MUST,MVP,Links manuales elemento↔BOQ,0.5-1.5 d,"BOQ-002,BIM-015",TODO,,,
BOQ-004,4 BOQ / QTO / 5D,MUST,MVP,DSL/modelo de mapping rules,0.5-1.5 d,BOQ-003,TODO,,,
